Job Title,Job Description
Backend Developer,"We are looking for an experienced Backend Developer having good knowledge in Django or Flask
We are a growing fintech company based in Andheri
Job Summary
Ideal Candidate should have prior experience of 3 5 years in Python Development We are looking for young dynamic technology professionals to be part of the Core team developing critical Financial application development Candidates should have a growth mindset flair to work for diverse functional areas be hardworking and committed to their profession
Responsibilities
1 Has prior experience in SLDC on Python preferably on Flask or Django
2 Knowledge and understanding of work flows databaseMsql and Nosql writing business rules
3 Work across the entire stack to build test and rollout inhouse
4 Deliver code for webbased applications develop APIs for integration
Qualifications and Skills
Any Graduate or Post Graduate
Python PHP HTML CSS Bootstrap AWS Firebase MySQL Mongo DB
Job Type Fulltime
Schedule
Day shift
Experience
work 1 year Preferred
total work 1 year Required
pythonphp 1 year Required
Education
Bachelors Required
Work Remotely
Temporarily due to COVID19"
JavaScript Developer,"JavaScript Developer is responsible for the programming and development of applications and software using the popular programming language Java
In order to attract JavaScript Developer that best matches your needs it is very important to write a clear and precise Java Developer job description
Job Types Fulltime Fresher WalkIn
Salary 700000 1500000 per month
Schedule
Day shift
Experience
work 1 year Preferred
total work 1 year Preferred
JavaScript 1 year Preferred
Education
Secondary10th Pass Preferred
Work Remotely
No
Speak with the employer
91 7783808216"
Software Engineer,"Business
Navis
Job Function
Software Development
Location
Chennai IN
Senior Software Engineer
Making Your Next Move Count
At Navis you will find a rewarding career where you can thrive at every level We invest in our teammates through offering competitive compensation and benefits progressive training opportunities that empower employees to achieve total physical financial social community wellbeing In addition to challenging and meaningful work you will find a strong worklife balance and a deep commitment to developing you Navis culture thrives on teamwork and diversity So bring your unique perspective and talent to Navis and thrive in your every work day
Navis LLC is an equal opportunity employer committed to a diverse and inclusive workforce
Position Summary
We are looking for a highly motivated Senior Software Engineer with a desire to continually innovate learn and help others succeed to join our team in building the next generation of our product offeringIn this position you will have an opportunity to make major contributions to our next generation of transportation and logistics Navis Smart software for the marine industry
Responsibilities
Analyse design develop and unit test robust largescale application
Collaborate with product management and quality assurance to delivery highly efficient features and functionality
Take ownership of a product feature and drive design code and feature reviews
Provide guidance related to your feature to various cross functional teams within the organization such as Documentation Professional Services Sustaining and Support
Requirements
Exp 6 Years
Expertise in Java ObjectOriented Programming
Experience in coding and implementing scalable solutions in largescale distributed systems
Extensive handson experience building services using these technologies Java SpringBoot Hibernate
Indepth knowledge of RDBMS technologies SQLServer Postgresql and NoSQL DB like Cassandra
Experience in building SOA based micro services solutions
Good expertise in Messaging KAFKA rabbitmq etc
Solid Experience in developing scalable Eventdriven applications
Strong handson experience in implementing REST APIs
Strong understanding of OOPS concepts Data Structures Design Patterns
Proficiency in GIT and other versioning tools
Experience in an Agile Development environment
Good working knowledge of Continuous Integration DevOps and relevant tools such as Jenkins
Good working knowledge of Docker Kubernetes"
Node js developer,"Hi
We are hiring NodeJs developer for one of our client Please find below the details of a job opportunity with our esteem client kindly revert with your updated resume and following details if interested to pursue this further
Position Nodejs developer
Experience 3 years
Employement type Permanent
Joining Time Immediate and early joinees preferred
Location Hyderabad
Job description
 Experience with application development using NodeJS and frameworks available for itsuch as Express StrongLoop etc depending on your technology stack
 Basic knowledge on javascript
 Implementing automated testing platforms and unit tests
 Proficient understanding of code versioning tools such as Git
 Developer who has experience with backend components
 Support the frontend developers by integrating their work with the Nodejs application
Job Type Fulltime
Schedule
Day shift
Experience
backend components 1 year Required
automated testing platforms unit tests 1 year Required
frameworks StrongLoopjavascript 1 year Required
NodeJS Developer 3 years Required
understanding of code versioning tools such as Git 1 year Required
Education
Bachelors Required
Work Remotely
Temporarily due to COVID19"
Software Engineer,"Description
Understand and define features functions and enhancements including coding unit testing and release production in the Media team
Responsibilities
Understand existing ecosystem before being able to add features functions and enhancements
Design and implement including coding unit testing and release to production
Follow improve processes with special focus on code reviews among others
Improve quality with every version and new features must match or exceed existing levels
Contribute to a collaborative and responsive team that owns a worldclass product service
Through awareness question priorities and influence plans designs
Requirement
BS or MS in Computer Science or related field
4 years experience building multithreaded solutions on one or more of Linux Android iOS Mac Win Experience in developing In C
Good communication skills through email specs and design docs
Bonus
Experience with protocols RTPRTCP SIP H323
Experience with packet error resilience RTXFEC packet pacing
Contributions to open source projects Culture of innovation with patents
Experience building AV capture AV rendering screen capture applications
Using Network Emulators Building scripts utilities for operational excellence
Verizon recently acquired BlueJeans and plans to integrate BlueJeans employees into Verizon including its compensation and benefits programs in due course This position will be part of that planned integration"
JavaScript Developer,"Who are we
AI has been redefining the way enterprises work and contact centers are no exception in fact its one where AI is increasingly in demand The use of chat bots machine comprehension namedentity recognition sentiment analysis recommender systems speech recognition fraud detection etc has led to boundless improvements in contact center efficiency and customer happiness Ciscos Contact Center solutions enable businesses to improve customer service and deliver personalized customer experiences by harnessing the power of big data and AI thats what you will do
Over 3 million agents across 30000 different enterprises use Cisco Contact Center solutions and will be using your solutions to deliver a phenomenal customer experience to billions of people
Learn more about us httpcscocontactcenter
Who Youll Work With
Youll join a newly formed highcaliber team thats building greenfield AI solutions for contact centers Were customerfocused datainformed passionate about solving ambitious problems keen on getting things done and we do it all with craftsmanship
Who You Are
You know how to build AI solutions at scale As a Senior Full Stack Engineer you will design and build scalable and reliable cloudnative microservices and data pipelines in our AI Platform You will mentor and lead others towards making sound technical decisions Youre passionate about learning research and using stateoftheart technologies and software development techniques
Your skills and experience include
Required Skills
 7 years of software Design and development experience
 Java multithreading frameworks like Akka Spring REST APIs
 UI Design with Javascript React AngularJS
 Big Data Frameworks Technologies
Desirable Skills
Building gRPC Clients Servers
Machine Learning Model building Serving with Tensorflow Pytorch Keras scikitlearn
Experience building production AI solutions
CICD pipelines with Docker Kubernetes and Jenkins
Why Cisco
WeAreCisco where each person is unique but we bring our talents to work as a team and make a difference powering an inclusive future for all
We embrace digital and help our customers implement change in their digital businesses Some may think were old 36 years strong and only about hardware but were also a software company And a security company We even invented an intuitive network that adapts predicts learns and protects No other company can do what we do you cant put us in a box
But Digital Transformation is an empty buzz phrase without a culture that allows for innovation creativity and yes even failure if you learn from it
Day to day we focus on the give and take We give our best give our egos a break and give of ourselves because giving back is built into our DNA We take accountability bold steps and take difference to heart Because without diversity of thought and a dedication to equality for all there is no moving forward
So you have colorful hair Dont care Tattoos Show off your ink Like polka dots Thats cool Pop culture geek Many of us are Passion for technology and world changing Be you with us"
DevOps Engineer,"Title Senior DevOps Engineer
Skills DevOps CJava Any Object programming language PowerShell TSQL Agile methodology
Location DLF Cyber Hub Gurugram
Company Summary
Were the global leader in workspace scheduling technology We make it easy to find and book space to meet up and work together We provide workspace scheduling software to over 1000 of the worlds biggest brands integrating meeting room and workspace reservation solutions that help remove friction in the workplace and free businesses and their people up to get the most out of their working day
Responsibilities
You will be responsible for Delivery Deliver cloud applications and resources reliably and without downtime
You will be responsible to execute change management tasks in application and database end that are not yet automated
You are responsible for design planning and development of operational solutions based on business requirements
Query Optimization on database side along with troubleshooting skills on database and application side
Monitor and take care of Application and Database patterns to host and maintain on Azure or any similar cloud platform
Be responsible for connectivity Security and connectivity between into and out of cloud services
Be responsible for selecting and leveraging libraries
Provide common solutions to multiple teams by identifying and addressing patterns in infrastructure and applications
Ensuring stability reliability and performance of Azure infrastructure
Improve applications performance
Develop database schemas tables and dictionaries
Ensure the data quality and integrity in databases
Create complex functions scripts stored procedures and triggers to support application development
You work in conjunction with fellow developers and operations members to come to the best possible solution
You are always looking for patterns and ways to increase efficiency eliminate downtime optimize costs and maintain performance at scale
Design solutions with failure in mind to ensure reliability
About You
46 years of relevant experience in development
You have experience with one or more languages C Java Python etc
Exposure to PowerShell logic App Runbook
Intermediate to advanced knowledge of SQL and T SQL Experience in MSSQL databases on cloud or hosted in must
Query Optimization along with troubleshooting experience on database and application side
You will have proficiency in one or more cloud providers AWS Azure or in largescale SaaS on any platform
Have exposure to systems or applications at scale especially on database side
Experience in applying engineering principles to operations
You have demonstrable experience managing a single multitenanted SaaS system
You are well versed in a large number of technologies and welcome new tools and techniques
You work to provide handson technical expertise to design deploy secure and optimize Cloud services
Nice to Have
Nice to have Frontend UI Programming language JavaScript AngularReact Python
You enjoy working with a large variety of services and technologies
Enjoy pushing scalability to the limit with high throughput services
You avoid logging into servers directly and prefer automation and aggregation for management
Like being active in the Open Source community by leading evangelizing or contributing to projects
You have industry experience providing handson technical expertise to design deploy secure and optimize Cloud services
Benefits
Health insurance fully paid Spouse children and Parents
Accident insurance fully paid
Transport allowance
Gratuity fully paid
25 day holidays
7 paid sick days
10 public holidays
Company Information
Follow us on Twitter LinkedIn YouTube
Condeco are proud to be an equal opportunity employer We are committed to treating all individuals in a fair and equal manner by creating an inclusive and open environment for all employees"
iOS Developer,"Who we are
Mobiquity is a digital engagement provider for more than 200 of the worlds leading brands We are a collective of consultants designers developers cloud advisors and data scientists spread across 3 continents and 9 offices who create compelling digital experiences to help clients show they care to the people who matter most their consumers patients and employees
About the Job
Mobiquity is seeking a Principal iOS Developer with demonstrated experience designing and implementing enterprise scale mobile solutions The ideal candidate will bring both strategic vision and solid execution skills to create native applications for mobile devices
Responsibilities
Design and develop native mobile applications for iOS
Integrate mobile apps with RESTful web services
Work with UX Designers Mobile Architects and other Developers to build enterprise mobile solutions
Work as part of an agile team on leading edge technologies
Skills and Experience
7 years experience developing applications software
Excellent working knowledge of an object oriented language Java C ObjectiveC C or similar including 4 years ObjectiveC preferably on the iPhone
Demonstrated expertise with Apples iOS SDK Cocoa Cocoa Touch etc
Experience using RESTful APIs to integrate mobile applications to server side systems
Working knowledge of HTML5 CSS3 and Javascript a plus
Good understanding of software development best practices
Experience working in an agile environment
Working knowledge of SCM with strong emphasis on Git and proper Git Flow"
Java Developer,"Areas of responsibility 
The candidate will be responsible for technology framework and providing technical leadership in IoT enabled cloud applications development with a focus on the design of systems and services that run on shared cloud platforms
The Cloud Solution Architect would play a major role in performing business analysis and liaison with product marketing end user and engineering team to provide architectural leadership and guide on best practices
Additionally the Cloud Solution Architect will be responsible for ensuring that all applications are designed and optimized for cost high availability and elastic scalability
Technical Competencies 
The ideal candidate should have a MastersBachelors degree in Computer Science or equivalent Advanced degree or additional certification on IOTData analyticsCloud solution is welcome
Minimum 10 or more years experience in designing large and complex IOT application in large productbased organizations is required Proficient in Web appmobile app developmentAndroid and iOS middleware database management and subscription services
Hands on experience in Java full stack development and able to provide technical leadership to team
The position requires strong leadership and teambuilding skills and must be able to collaborate with design partners and efficiently deal with a group of high performing individuals
Hands on experience in development to demonstrate knowledge of cloud architecture and implementation features Should possess knowledge of DevOps tool chains and processes and Act as a Subject Matter Expert to the organization on cloud based endtoend architecture including Azure components
Keep up overall industry knowledge on latest trends and technology evolution Conversant with solutions architecture and evaluate architectural alternatives for various system and services like IaaS PaaS etc
Should drive scope definition perform requirements analysis functional and technical design application build product configuration unit testing and production deployment Exposure to multiple diverse technologies and processing environments
Conversant with business process reengineering principles Strong understanding of network architecture and application development methodologies
Behavioral Requirement 
Demonstrate leadership ability to rationalize decisions with research and articulate various alternate options in a convincing manner
Work closely with project sponsors other stakeholders to size and manage scope and technical risks
Assume a role of coach and mentor to project team members on their assigned project tasks Develop a cohesive team and ensure their sustained success
The ideal candidate should have a MastersBachelors degree in Computer Science or equivalent Advanced degree or additional certification on IOTData analyticsCloud solution is welcome
Minimum 10 or more years experience in designing large and complex IOT application in large productbased organizations is required Proficient in Web appmobile app developmentAndroid and iOS middleware database management and subscription services
Hands on experience in Java full stack development and able to provide technical leadership to team"
PHP Developer,"Job Summary
Admedia India is seeking a Senior PHP Developer to join our highgrowth creative organization at our offices in New Delhi This position is responsible for developing and maintaining projects in PHP utilizing industry standards and best practices Candidates will be tasked with taking a finished design and create functional PHP software to be deployed in LAMP environments The position will require expert knowledge of all main components of the LAMP environment
Responsibilities and Duties
Be able to design and create functional web applications and websites in a LAMP environment
Ability to think critically conduct research and creatively solve problems
Ability to communicate clearly with the Los Angeles team and the ability to collaborate as a team
Ability to adopt new skills and innovate with the latest technologies in order to create state of the art hightraffic web applications running on multiple web servers
Key Skills
Expert in handcoding PHP MySQL Agile AJAX Flash XML Perl and Shell scripting
Required Experience and Qualifications
Must have 5 years working experience in Online Search Advertising code environment
Expert knowledge of PHP MySQL XML Apache and Linux servers along with frontend development using Javascript jQuery and other libraries
Knowledge of design patterns composition and objectoriented development
Experience working with APIs both integrating a thirdparty API and creating your own when necessary Oath Facebook Twitter Google API experience preferred
Ability to build custom REST APIs
RTB Experience is Required
Experience designing relational databases and queries
Experience in Memcache Redis or similar caching technology
Experience integrating PHP into a fullstack environment Ability to write JSHTMLCSS
Advanced knowledge of building Content Management Systems either from your own design or from frameworks using CodeIgniter
Must have B Tech M Tech ME or MSC Engg in order to apply
Job Type Fulltime
Pay 50000000 200000000 per year
Experience
PHPLAMP Coding 5 years Required
Ad Technology 3 years Required
Location
New Delhi Delhi Preferred
Benefits
Meal card Food coupons
Flexible work hours
Education assistance
Phone Internet reimbursement
Other
Travel allowance"
Database Administrator,position overview system administrator support administrates maintains operation enterprise data center system comprised physical virtual server storage backup monitoring automation well hybrid cloud management position qualification minimum education andor experience bachelor s degree computer science information technology computer information system business closely related field least three 3 year experience administering configuring managing installing troubleshooting server vmware virtual infrastructure include cloud automation storage system multi domain forest enterprise environment combination postsecondary education andor jobrelated experience may substitute degree requirement yearforyear basis specialized training certification andor special requirement two 2 year experience utilizing microsoft office product 2010 newer window server operating system 2008 vmware vrealize cloud management suite additionally two 2 year experience working serverclass hardware specifically hewlett packard dell server well experience working storageclass hardwaredevices must posse ability obtain time hire valid arizona driver s license must able pas extensive background screening knowledge skill ability knowledge microsoft win20xx vmware vsphere vmware vrealize cloud management suite emphasis automation enterprise storage backup system administration installation ongoing maintenance experience vmware software defined data center product tool file server migration troubleshooting performance tuning skill oral written communication detail oriented task demonstrating positive willing attitude possessing selfmotivation exercising good time management skill exhibiting skill required embrace change actively participate planning short long term goal meet shifting business requirement ability effectively troubleshoot system provide user technical support make critical decision use limited premier support service develop troubleshoot power cli powershell script interface database administrator professional coordinate installation maintenance client server application support enterprise line business system multitask follow assigned task consistently meet exceed expectation project provide guidance county policy department interact positively effectively staff member level within organization work management resolve critical matter significance effect team customer adjust smoothly change priority manage time effectively little supervision provide oncall 24 x 7 service rotation visit data center different geographical location apply system patch established monthly patch weekend preferred education andor experience microsoft window 2012 2016 system administration vmware vsphere microsoft active directory administrative experience vmware nsx microsoft sql 20xx microsoft exchange 20xx microsoft office 365 microsoft sharepoint solarwinds data center monitoring experience serving liaison business community information technology department experience providing well written documentation communication management report working condition work performed office data center environment may subject repetitive motion typing data entry may subject bending reaching kneeling stooping lifting fifty 50 pound frequent computer use involving need see detail close range must able work hour weekend holiday well oncall 24 hour day seven 7 day week travel job related location course scheduled workday subject county policy regarding use county vehicle andor private vehicle used county business required essential job task performs enterprise system application support highest level technical expertise independently well collaboratively assistance information technology professional premier support service enterprise system including window server fileprint service ii sql office 365 vmware virtualization cloud solution active directory addition backup storage resource utilized system support provided often coordination collaboration pclan manager customer care center s service desk system manages daytoday operation monitoring performance tuning enterprise active directory window 2012 2016 environment supporting multiple domain division entire county work maintains active directory account security group group policy server based shared directory user permission assures adherence departmental service level agreement provides oncall support based rotation apply necessary patch established patch window occurs month weekend installs configures monitor troubleshoots maintains enterprise server class software hardware little assistance including file server load balanced application within high availability environment includes multiple data center limited supervision installs configures support various lineofbusiness application using active directory automation technique service interface colleague contractor customer within external department coordinate support installation maintenance enterprise system maintains backup system ensures backup successfully completed periodically tested compliance best practice assist maintaining site inventory rotation tape disaster recovery selection procedure maricopa county human resource department reserve right admit selection process candidate considered highly qualified selected assessed based evaluation listed education experience hiring authority interview select successful candidate list provided human resource offer employment made new hire rehires maricopa county contingent upon successful completion postoffer preemployment thorough background investigation background investigation conducted current employee change safety sensitive position one potential serious adverse impact integrity efficiency county requirement pertain employee elected official undergo background investigation process administered respective office typically successful candidate hired salary rate midpoint range based applicable experience internal equity budgetary allowance
Django Developer,"Key Skills PythonDjangojavascriptHTMLCSS3bootstrapOOPsMySQL
Experience 0 1 yrs
Freshers can also Apply
Responsibilities 
Write reusable testable and efficient code
Design and implement of lowlatency highavailability and performant applications
Integration of userfacing elements developed by frontend developers with server side logic
Implementation of security and data protection
Integration of data storage solutions
Performance tuning improvement balancing usability automation
Work collaboratively with design team to understand end user requirements to provide technical solutions and for the implementation of new software features
Why Xbyte
Large exposure in terms of profile
Friendly environment
To work on new technologies
On job training
Fun activities and events
Job Type Fulltime
Pay 1200000 2000000 per month
Schedule
Day shift
Work Remotely
No"
