Job Title,Job Description
DevOps Engineer,"DESCRIPTION
Job Department Operations
Job Title DevOps Engineer
Job Location Bangalore India
Job Description
The Syncron Operations Team is seeking engineers that enjoy solving problems working with customers have a strong technical background in application management and software development including Terraform Git Gerrit Jenkins and at least one popular programming language Python preferred Do you have experience as a Systems Administrator working with Linux or Unix and understand the advantages of working in a highly distributed virtual environment Can you read and troubleshoot code snippets You will be responsible for deploying automating maintaining troubleshooting and improving the systems that keep the backend infrastructure running smoothly The role requires you to have handson technical experience and a cando approach towards environment automation management and continuous improvement The role will encompass the use of a broad range of AWS technologies including but not limited to EC2 RDS Lambda IAM Athena VPCs Terraform etc with an emphasis on the implementation of best practice cloud security principles If you fit the description you might be the person we are looking for
Responsibilities
Troubleshoot application deployments recreate customer issues build proof of concept applications
Apply advanced troubleshooting techniques to provide unique solutions to our customers individual needs
Build and maintain the backbone of the Syncron infrastructure in AWS cloud
Build and maintain Terraform deployments Jenkins pipelines and shell and Python scripts to automate and deploy AWS
Collaborate and help build utilities and tools for internal use that enable you and your fellow Syncron Engineers to operate safely at high speed and wide scale
Leverage your daytoday experiences to provide feedback on customer experience to internal Syncron teams
Drive communication during critical events
Write tutorials howto and other technical articles
Work on critical complex problems that will span multiple AWS services and Syncron products
Learn and use groundbreaking technologies
Requirements
Systems administration Linux based Operation System
2 years of experience in a DevOps role or experience setting up maintaining and coordinating the automated patch and configuration management of production servers
Experience with Infrastructure as a Code tools preferably Terraform
Experience with CICD tools preferably Jenkins particularly pipelines to automate deployment and maintenance of Linux application servers
Programmingscripting with Python andor Bash Other languages a bonus
Experience managing full 3 tier application stacks from the OS up through custom applications
Excellent written and oral communication skills
Experience with AWS GCP or Azure AWS Certificates would be a plus
About Syncron
Syncron empowers the worlds leading manufacturers to maximize product uptime and deliver exceptional aftersales service experiences while driving significant revenue and profit improvements From industryleading investments in research and development to provide the fastest timetovalue Syncrons awardwinning cloudbased service parts inventory price order and uptime management solutions are designed to continually exceed customer expectations Top brands from around the world trust Syncron to transform their aftersales service operations into competitive differentiators For more information visit syncroncom
As data controller of your personal data we are required to provide you with several information to foster your data privacy rights Please read them here"
Wordpress Developer,"Duties Responsibilities
Design and implement new features and functionality
Creating and supervise the websites architecture
Ensuring highperformance and availability and manage all the technical aspects of the CMS
Formulate effective responsive design and turning it into a working theme and plugin
Creating WordPress themes and plugins
Leading website performance tests
Troubleshooting content issues
Conducting WordPress training with the client
Monitoring the performance of the live website
Technical Skills Required
Strong Technical Knowledge of frontend technologies including HTML5 CSS3 Javascript Jquery
Working knowledge of building user interfaces for websites and web applications
The candidate should possess working experience with debugging tools including Firebug and Chrome inspector to name a few
Have clarity and understand CSS changes and their effects while ensuring consistent style across all platforms and browsers
Experience to convert comprehensive layout and wireframes into working HTML pages
Knowledge of how to interact with RESTful APIs and formats JSON XML
A strong understanding of code versioning tools including Git SVN and Mercurial
Strong knowledge of PHP backend development is required
Qualifications
Graduatepostgraduate in the technical field of BCA Bsc IT BE BTech MBAIT MCA MscIT
Experience of minimum 2 5 yrs"
DevOps Engineer,"Experience of orchestration technologies like Kubernetes Containers modern distributed computing with scaleout architecture on Cloud Shoudl be able to automate CDCI pipelines for any kind of application The successful candidate will have a strong influence on designing and implementing our CICD pipelines and Cloud initiatives
Need to very strong in Ansible scripting Terraform AWS Jenkins Kubernetes and Python
Requirements
 Docker Kubernetes and environment creation using scripts
 Resource should have minimum 5 years on cloud technologies
 Should be holding any certification on Linux OS
 Should have indepth knowledge on various cloud architectures
 Strong in Ansible scripting and Terraform
 Should have handson experience with various CICD tool sets GitHub Jenkins Docker
 Should have extensive knowledge on CICD pipeline creation and containerization
 Experience deploying Kubernetes ecosystem into Any linux machines
 Automation experience using PythonRubyGo any scripting is a plus"
Machine Learning,"We are looking for an outstanding Machine Learning Engineer with an adaptable and productive working style which fits in a fastmoving startup This role will start off with a 3month contract leading to a fulltime position in our company The role requires an independent thinker with ML knowledge able to use sophisticated and state of the art techniques to contribute to tasks like building an extraction algorithm which can read and evaluate information from resumes effectively You must be able to translate technical concepts into implementable solutions whilst communicating results and benefits clearly to your colleagues
What we are working on 
We are currently working on a product which is an applicant tracking system As a product with a huge scope for being an intelligent system to automatically complete mundane tasks we would like to leverage the ample amount of research available out there in the machine learning space
Many Human Resource personnel struggle with the repetitive task of going through every resume to decide whether the candidate fits the profile Our machine learning algorithms are trained on tons of resumes to decide whether a candidate makes the cut or not
Responsibilities 
Implement evaluate and optimize algorithms and models for our information extraction and candidate scoring algorithms
Use NLPMachine Learning techniques including linearlogistic regression decision trees classification entity recognition ensembles text mining to build models
Selecting and transforming features building and optimizing classifiers using machine learning techniques
Provide software design and programming support to research projects
Required Skills 
At least 2 years hands on experience in the development of machine learning based systems
Experience working with NLP techniques entity recognition predictive modeling and other analytical techniques over structured as well as unstructured datasets
Ability to read understand and implement the latest research papers from top conferences like NIPS CVPR and ICML
Strong Python programming skills and working experience in libraries like Pandas and Numpy
Ability to quickly prototype solutions and perform critical analysis
About Us 
FullThrottle Labs has a wide and diverse portfolio of B2B SAAS business productivity applications which include marketing automation software primarily targeted towards Y Combinator startups team management software DixiApp which has over 1500 companies using it globally an identity resolution platform Truemailer and finally a hiring automation platform PyjamaHR that weve just launched in Q1 2020 Besides the above we work with select Y Combinator startups and provide niche consulting in Automation Machine Learning using our expertise in these areas Having seen traction and growing revenue with incredible potential in the market FullThrottle Labs is eager to scale rapidly Join us to be a part of the journey
BenefitsPerks 
FullThrottle Labs offers an array of benefits including competitive salaries equity options free food and beverages and weekly team outings
Location Bangalore Koramangala 8th Block
Job Type Fulltime
Salary 80000000 140000000 per year
Schedule
Monday to Friday
Supplemental Pay
Overtime pay
Yearly bonus
Experience
Machine Learning 2 years Required
Education
Bachelors Preferred
Work Remotely
Temporarily due to COVID19"
DevOps Engineer,"Job Description
Job Title DevOps Lead
Location India
Corporate Title Assistant Vice President
Overview
As DevOps Lead in RFT you will be working as a part of DevOps transformation team that work to implement DevOps strategy and drive the DevOps transformation across RFT domain In this role you will work in partnership with the Agile Testing and Release Management functions to proactively engage test teams to make sure that deliveries are aligned with overall transformation objectives You will be required to help the subdomains identify assess manage the DevOps health needs including any bespoke solution to improve the KPIs
What well offer you
A healthy engaged and wellsupported workforce are better equipped to do their best work and more importantly enjoy their lives inside and outside the workplace Thats why we are committed to providing an environment with your development and wellbeing at its center
You can expect
Competitive salary and noncontributory pension
30 days holiday plus bank holidays with the option to purchase additional days
Life Assurance and Private Healthcare for you and your family
The opportunity to support a wide ranging CSR Corporate service responsibility programme
Your key responsibilities
Working with other engineers to support our adoption of continuous delivery automating the building packaging testing and deployment of applications
Creating the tools required to deploy and manage applications effectively in Test Environments with minimal manual effort
Helping teams to adopt modern delivery practices such as extensive use of automated testing continuous integration and more frequent releases
Configuring and managing code repositories continuous builds artefact repositories cloud platforms and other tools
Contributing towards a culture of learning and continuous improvement within your team and beyond
Sharing skills and knowledge in a wide range of topics relating to Devops and software delivery
Your skills and experience
Experience creating and maintaining automated builds using tools such as Team City Jenkins etc
Hands on experience of scripting languages such as bash ruby or python Some experience with generalpurpose programming languages preferably Java
Knowledge and experience on configuration management tools such as Ansible puppet
Good understanding of version control systems branching merging etc Practical experience using Git
Using repositories such as Nexus and Artifactory to manage and distribute binary artifacts
An understanding of automated testing using tools such as Junit Cucumber Selenium etc
An understanding of operating systems platforms and infrastructure Including Unix and Windows Docker PaaS and IaaS technologies such as Open Shift
Ability to manage multiple stakeholders and work with both technical and non technical individuals on a daily basis testing and development lifecycles
How well support you
Training and development to help you excel in your career
Flexible working to assist you balance your personal priorities
Coaching and support from experts
A culture of continuous learning to aid progression
A range of flexible benefits that you can tailor to suit your needs
About us and our teams
Please visit our company website for further information
httpswwwdbcomcompanycompanyhtm
Our values define the working environment we strive to create diverse supportive and welcoming of different views We embrace a culture reflecting a variety of perspectives insights and backgrounds to drive innovation We build talented and diverse teams to drive business results and encourage our people to develop to their full potential Talk to us about flexible work arrangements and other initiatives we offer
We promote good working relationships and encourage high standards of conduct and work performance We welcome applications from talented people from all cultures countries races genders sexual orientations disabilities beliefs and generations and are committed to providing a working environment free from harassment discrimination and retaliation
Click here to find out more about our diversity and inclusion policy and initiatives"
Network Administrator,"Your goal will be to ensure that our technology infrastructure runs smoothly and efficiently
Responsibilities
Install and configure software and hardware
Manage network servers and technology tools
Set up accounts and workstations
Monitor performance and maintain systems according to requirements
Troubleshoot issues and outages
Ensure security through access controls backups and firewalls
Upgrade systems with new releases and models
Develop expertise to train staff on new technologies
Build an internal wiki with technical documentation manuals and IT policies
Requirements
Proven experience as a System Administrator Network Administrator or similar role
Experience with databases networks LAN WAN and patch management
Knowledge of system security eg intrusion detection systems and data backuprecovery
Ability to create scripts in Python Perl or other language
Familiarity with various operating systems and platforms
Resourcefulness and problemsolving aptitude
Excellent communication skills
BScBa in Information Technology Computer Science or a related discipline professional certification eg Microsoft Certified Systems Administrator MCSA is a plus
Job Type Fulltime
Salary 3000000 4500000 per month
Experience
work 2 years Preferred
total work 2 years Preferred
Education
Secondary10th Pass Preferred
Industry
Software Development
Work Remotely
Temporarily due to COVID19"
Network Administrator,"Network Transmission Administrator
Infosys Limited
Pune
Job IDReference Code
INFSYSExternal103477
Work Experience
4 Years and above
Job Title
Network Transmission Administrator
Responsibilities
A day in the life of an Infoscion As part of the Infosys delivery team your primary role would be to ensure effective Design Development Validation and Support activities to assure that our clients are satisfied with the high levels of service in the technology domain You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers You would be a key contributor to building efficient programs systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you If you think you fit right in to help our clients navigate their next in their digital transformation journey this is the place for you
Educational Requirements
Bachelor of Engineering
Service Line
Cloud Infrastructure Services
Additional Responsibilities
 Knowledge of design principles and fundamentals of architecture Understanding of performance engineering Knowledge of quality processes and estimation techniques Basic understanding of project domain Ability to translate functional nonfunctional requirements to systems requirements Ability to design and code complex programs Ability to write test cases and scenarios based on the specifications Good understanding of SDLC and agile methodologies Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate
Technical and Professional Requirements
Primary skills NetworkingTransmission
Preferred Skills
NetworkingTransmission
Location of posting is subject to business requirements"
Django Developer,"Job Python Developer
We are a professionally managed IT company based in Central Delhi India Our services include Website Designing Web Development ECommerce Website Wordpress Website Logo Banner Web Hosting SEO Search Engine Optimization SMO Social Media Optimization Pay Per Click PPC Digital Marketing eLearning etc
Job Description 
We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users Your primary focus will be the development of all serverside logic ensuring high performance and responsiveness to requests from the frontend You will also be responsible for integrating the frontend elements built by your coworkers into the application therefore a basic understanding of frontend technologies is necessary as well
Duties and Responsibilities 
Daily duties for Python developers vary based on the websites applications and programs used by the hiring company However these main responsibilities are the same across all businesses and industries
 Maintain Existing Programs Python developers maintain existing programs and apps used by the company troubleshooting to spot potential problems and ensuring they continue to function smoothly
 Write New Programs Python developers write new programs and applications to streamline business functions and increase productivity companywide
 Reprogram Databases Python developers reprogram existing databases to increase functionality and data capacity
 Manage Online Pages Python developers streamline web portals by writing new programs in addition to designing and maintaining websites
 Manage Servers Python developers manage and maintain company servers to keep them functioning efficiently across the network
 Design Marketing Programs Python developers design programs for marketing campaigns including promotional emails and web applications
 Create Online Tools Python developers create digital tools and applications to monitor online traffic and maximize the customer experience on web pages
Skills And Qualifications 
 Expert in Python with knowledge of at least one Python web framework such as Django Flask etc
 Familiarity with some ORM Object Relational Mapper libraries
 Able to integrate multiple data sources and databases into one system
 Understanding of the threading limitations of Python and multiprocess architecture
 Good understanding of serverside templating languages Basic understanding of frontend technologies such as JavaScript HTML5 and CSS3
 Understanding of accessibility and security compliance
 Knowledge of user authentication and authorization between multiple systems servers and environments
 Understanding of fundamental design principles behind a scaleable application
 Familiarity with eventdriven programming in Python
 Understanding of the differences between multiple delivery platforms such as mobile vs desktop and optimizing output to match the specific platform
 Able to create database schema that represents and support business processes
 Strong unit test and debugging skills
 Proficient understanding of code versioning tools
Job Type Fulltime
Salary Up to 4000000 per month
Schedule
Morning shift
Experience
work 1 year Preferred
total work 1 year Preferred
Python 1 year Preferred
Education
Bachelors Preferred"
iOS Developer,"We are looking for an iOS developer responsible for the development and maintenance of applications aimed at a range of iOS devices including mobile phones and tablet computers Your primary focus will be development of iOS applications and their integration with backend services You will be working alongside other engineers and developers working on different layers of the infrastructure Therefore a commitment to collaborative problem solving sophisticated design and the creation of quality products is essential
Skills
Proficient with ObjectiveC Swift v4 and Cocoa Touch
Experience with iOS frameworks such as Core Data Core Animation etc
Experience with offline storage threading and performance tuning
Familiarity with RESTful APIs to connect iOS applications to backend services
Knowledge of other web technologies and UIUX standards
Understanding of Apples design principles and interface guidelines
Knowledge of lowlevel Cbased libraries is preferred
Experience with performance and memory tuning with tools such as Instruments and Shark depending on project need
Familiarity with cloud message APIs and push notifications
Knack for benchmarking and optimization
Proficient understanding of code versioning tools such as Git Mercurial or SVN
Familiarity with continuous integration
A knack for benchmarking and optimization
Familiarity with code versioning tools"
Flutter Developer,"Exp Min 1 year or above
Build pixelperfect buttery smooth UIs across both mobile platforms
Leverage native APIs for deep integrations with both platforms
Diagnose and fix bugs and performance bottlenecks for performance
Knowledge of multiple JavaScript frameworks eg Angular React Nodejs a plus
Job Types Fulltime WalkIn
Salary 2000000 2500000 per month
Schedule
Morning shift
Experience
software development 1 year Preferred
Education
Bachelors Preferred
Work Remotely
No"
Node js developer,"Required skills 
Experience in JavaScript and Node JS
 Experience in CSS HTML Saas Less and JavaScript developer thats delved into both coding from scratch and is familiar with a modern clientside framework
 Experience with Nodejs 8x Hapijs Webpack React 16x Hooks
 Unit testing Lab Karma Mocha nock
 Templating frameworks Handlebars React
 Task runner NPM Gulp Grunt
 Version Control Git
 SDLC Working experience in Agile methodology
 Experience in design patterns is a must
 Should be able to collaborate and work with the global teams
 Good communication skills
Job Types Fulltime Contract
Salary 50000000 160000000 per year
Experience
total 5 years Required
nodejs 2 years Required
work 1 year Preferred
javascript 2 years Required
Education
Bachelors Required
Work Remotely
Temporarily due to COVID19"
